file_scan	perm	uid	gid	size	size_on_disk	blocks	atime	mtime	ctime	inode	file_name
ifs.am.cal.backup.apps.sss	33261	829	829	5399848	5406720	13233	1655910456	1655910456	1702053407	8516198740	./gcs/2021.0/SCSClient/lib/run/data/public/datasets/time_3dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	65376	65536	433	1665854130	1484585789	1559438748	5835737101	./gcs/2.9.5.3/SCSClient/run/data/public/datasets/time_2dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	5399848	5406720	13233	1665854130	1484585789	1559438748	5835737102	./gcs/2.9.5.3/SCSClient/run/data/public/datasets/time_3dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	65376	65536	433	1665854379	1505324933	1559439403	6025732421	./gcs/2.9.5.5/SCSClient/run/data/public/datasets/time_2dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	5399848	5406720	13233	1665854379	1505324933	1559439403	6024765584	./gcs/2.9.5.5/SCSClient/run/data/public/datasets/time_3dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	65376	65536	433	1665853973	1484585789	1559438098	5781742118	./gcs/2.9.5.2/SCSClient/run/data/public/datasets/time_2dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	5399848	5406720	13233	1665853973	1484585789	1559438098	5782008166	./gcs/2.9.5.2/SCSClient/run/data/public/datasets/time_3dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	65376	65536	433	1665250387	1518457388	1571744002	7018353217	./gcs/2017.3/SCSClient/run/data/public/datasets/time_2dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	5399848	5406720	13233	1665250387	1518457388	1571744003	7015492094	./gcs/2017.3/SCSClient/run/data/public/datasets/time_3dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	65376	65536	433	1665250257	1518457388	1559442116	6688162828	./gcs/2017.2/SCSClient/run/data/public/datasets/time_2dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	5399848	5406720	13233	1665250257	1518457388	1559442117	6688162829	./gcs/2017.2/SCSClient/run/data/public/datasets/time_3dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	65376	65536	433	1665854840	1518457388	1559440659	6235621459	./gcs/2017.0/SCSClient/run/data/public/datasets/time_2dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	5399848	5406720	13233	1665854840	1518457388	1559440659	6235881895	./gcs/2017.0/SCSClient/run/data/public/datasets/time_3dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	65376	65536	433	1665250624	1650438113	1651173510	8019465707	./gcs/2019.1/SCSClient/run/data/public/datasets/time_2dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	5399848	5406720	13233	1665250624	1650438113	1651173510	8019465708	./gcs/2019.1/SCSClient/run/data/public/datasets/time_3dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	65376	65536	417	1705945097	1705945097	1717593741	8602159242	./gcs/2021.1/SCSClient/lib/run/data/public/datasets/time_2dvel.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	5399848	5406720	14225	1705945096	1705945096	1717593741	8602159243	./gcs/2021.1/SCSClient/lib/run/data/public/datasets/time_3dvel.sgy
ifs.am.cal.backup.apps.sss	33277	829	829	735120	737280	2065	1665277761	1164992280	1559475497	4386367933	./move/2009.1/examples/2d_data/extra_data/section_construction/construct_fault/construct_fault_extension/NGOS/ngos.sgy
ifs.am.cal.backup.apps.sss	33277	829	829	735120	737280	2065	1665277760	1164992280	1559475496	4385678034	./move/2009.1/examples/2d_data/extra_data/imports/ngos.sgy
ifs.am.cal.backup.apps.sss	33277	829	829	1431180	1433600	3905	1665277760	1164992280	1559475496	4385678032	./move/2009.1/examples/2d_data/extra_data/imports/foothill.sgy
ifs.am.cal.backup.apps.sss	33277	829	829	898200	901120	2385	1665277760	1164992280	1559475496	4385678035	./move/2009.1/examples/2d_data/extra_data/imports/salt.sgy
ifs.am.cal.backup.apps.sss	33277	829	829	8698896	8699904	20689	1665277664	1169026190	1559475339	4386833449	./move/2009.1/LinuxRHEL_30WS/tutorials/2DMove_tutorial_files/08_North_Sea_Example/Depth520.sgy
ifs.am.cal.backup.apps.sss	33277	829	829	1431180	1433600	3905	1665277658	1169026219	1559475328	4389740467	./move/2009.1/LinuxRHEL_30WS/tutorials/2DMove_tutorial_files/02_operations_geology/benjamin_west_raw_data_set/foothill.sgy
ifs.am.cal.backup.apps.sss	33277	829	829	4894200	4898816	11729	1665277659	1169026202	1559475329	4381520882	./move/2009.1/LinuxRHEL_30WS/tutorials/2DMove_tutorial_files/02_operations_geology/seismic/3dmovenew.sgy
ifs.am.cal.backup.apps.sss	33188	829	829	8698896	8699904	20689	1275642237	1169029790	1275642258	4381534057	./move/to_be_removed_2010.1/tutorials/2DMove/12_North_Sea_Restoration/Depth520.sgy
ifs.am.cal.backup.apps.sss	33188	829	829	4894200	4898816	11729	1275642237	1169029802	1275642248	4383784918	./move/to_be_removed_2010.1/tutorials/2DMove/3_Loading_and_Visualization_Data_Files/3dmovenew.sgy
ifs.am.cal.backup.apps.sss	33188	829	829	1431180	1433600	3905	1275642237	1169029819	1275642248	4385006688	./move/to_be_removed_2010.1/tutorials/2DMove/3_Loading_and_Visualization_Data_Files/benjamin_west_raw_data_set/foothill.sgy
ifs.am.cal.backup.apps.sss	33261	829	829	443	8192	97	1665859249	1398141580	1559452124	6177408728	./lct/2009.14/Linux/demo/interp/2mod_mak2mod_lctseis/segy/2mod.mtd.segy
ifs.am.cal.backup.apps.sss	33261	829	829	2076672	2080768	5201	1665859249	1398141580	1559452124	6173807629	./lct/2009.14/Linux/demo/interp/2mod_mak2mod_lctseis/segy/INT.segy
ifs.am.cal.backup.apps.sss	33261	829	829	8626176	8626176	20545	1665837454	944766619	1559418381	4389211538	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1743/depth/TRK1743.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10555392	10559488	25185	1013466246	1013466246	1269555409	4389211541	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1743/time/TRK1743.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8654848	8658944	20609	1665837459	944767209	1559418394	4387282270	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1885/depth/TRK1885.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10588160	10592256	25377	1013467871	1013467871	1269555509	4387282267	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1885/time/TRK1885.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8654848	8658944	20609	1665837457	944766868	1559418386	4377912513	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1803/depth/TRK1803.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10588160	10592256	25377	1013466880	1013466880	1269555482	4390606138	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1803/time/TRK1803.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8626176	8626176	20545	1665837458	944767001	1559418388	4384977720	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1835/depth/TRK1835.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10555392	10559488	25185	1013467308	1013467308	1269555494	4391412241	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1835/time/TRK1835.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8654848	8658944	20609	1665837456	944766760	1559418385	4389224637	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1777/depth/TRK1777.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10588160	10592256	25377	1013466600	1013466600	1269555420	4389224638	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1777/time/TRK1777.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8654848	8658944	20609	1665837456	944766835	1559418386	4385376956	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1795/depth/TRK1795.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10588160	10592256	25377	1013466789	1013466789	1269555426	4385376959	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1795/time/TRK1795.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8654848	8658944	20609	1665837460	944767258	1559418395	4388473962	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1897/depth/TRK1897.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10588160	10592256	25377	1013468001	1013468001	1269555513	4388473965	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1897/time/TRK1897.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8626176	8626176	20545	1665837455	944766668	1559418383	4388855583	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1755/depth/TRK1755.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10555392	10559488	25185	1013466369	1013466369	1269555413	4388855586	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1755/time/TRK1755.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8654848	8658944	20609	1665837453	944766462	1559418377	4385375815	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1705/depth/TRK1705.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10588160	10592256	25377	1013462253	1013462253	1269555395	4385375818	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1705/time/TRK1705.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8654848	8658944	20609	1665837459	944767125	1559418391	4385936995	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1865/depth/TRK1865.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10588160	10592256	25377	1013467661	1013467661	1269555503	4385936998	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1865/time/TRK1865.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8626176	8626176	20545	1665837455	944766693	1559418384	4387958840	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1761/depth/TRK1761.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10555392	10559488	25185	1013466432	1013466432	1269555415	4387958842	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1761/time/TRK1761.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8654848	8658944	20609	1665837456	944766768	1559418385	4388816321	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1779/depth/TRK1779.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10588160	10592256	25377	1013466621	1013466621	1269555420	4388816320	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1779/time/TRK1779.vt
ifs.am.cal.backup.apps.sss	33261	829	829	8626176	8626176	20545	1665837455	944766727	1559418384	4375935069	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1769/depth/TRK1769.vt
ifs.am.cal.backup.apps.sss	33188	829	829	10555392	10559488	25185	1013466516	1013466516	1269555417	4375935070	./3dzui/V8.4.1/data/BiggieMax/tutorial/TRK1769/time/TRK1769.vt
