file_scan	perm	uid	gid	size	size_on_disk	blocks	atime	mtime	ctime	inode	file_name
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	543606	548864	1635	1676333102	1635463042	1635463042	40473681793	./xdigi/jpg/output/Fault_Amplitude_trimmed_Probability_ae23b676ce2e4ae189eaacb07eda447d.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	3597887	3604480	8627	1676333103	1635407071	1635407071	40378422007	./xdigi/jpg/output/Fault_Amplitude_trimmed_Probability_a2e7fe38482446569c6796e2c6500cbb.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	3283934	3284992	8003	1676333103	1635460833	1635460833	40478887819	./xdigi/jpg/output/Fault_Amplitude_trimmed_Probability_80cb8ae91f184dcfbbf5d744a5e5b7b3.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	86665881	86671360	204211	1676333103	1661872373	1661872373	45796538326	./xdigi/jpg/output/April-6-Output_inline_prob_Fault_g8gQr5Y2TAk.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	89694903824	612368384	1440115	1676333103	1635786106	1635786106	40454563193	./xdigi/jpg/output/PBE_SE_ALL_crossline_prob_GlobalFault_v1uBoML1QKc.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	129909586	129916928	305907	1676333103	1661872694	1661872694	45752503721	./xdigi/jpg/output/epoch_24_test1_inline_prob_Faults_Deep_N6rnDMPESkY.vds
ifs.am.hou.backup.apps.3rdparty	33188	74445	59655	11007	16384	99	1690380756	1646219334	1646219334	42621885196	./xdigi/testdata/otu_psdm_GeoIo_vt2vds_temp1.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	23687754	23691264	56115	1690360936	1633043323	1633043323	40049463842	./xdigi/testdata/Fault_test2.vds
ifs.am.hou.backup.apps.3rdparty	33204	60710	60710	28	8192	51	1690381752	1632102191	1633088886	39840155014	./xdigi/testdata/dtt_test/sample.vds
ifs.am.hou.backup.apps.3rdparty	33188	60710	60710	209847246	209854464	493987	1690380992	1633084780	1633088886	39965487904	./xdigi/testdata/dtt_test/oct1Gokul_inline_prob_GlobalFault_z28JSQ1cRhw.vds
ifs.am.hou.backup.apps.3rdparty	33204	60710	60710	0	0	3	1632102075	1632102075	1633088886	39840155009	./xdigi/testdata/dtt_test/test_zero_file.vds
ifs.am.hou.backup.apps.3rdparty	33188	60710	60710	1146769	1146880	2803	1690380985	1633084761	1633088886	40018354197	./xdigi/testdata/dtt_test/oct1Gokul_110_ProbabilityScanner_GlobalFault_z28JSQ1cRhw.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	23687754	23691264	56163	1719961207	1619120400	1633042830	36756771284	./xdigi/testdata/Fault_Amplitude_trimmed.vds
ifs.am.hou.backup.apps.3rdparty	33200	60710	60710	0	0	3	1631886491	1631886491	1631886491	39879050876	./xdigi/testdata/file_invalid.vds
ifs.am.hou.backup.apps.3rdparty	33277	60710	59655	33654602184	33654603776	79125619	1690381752	1633088001	1633104326	39852682891	./xdigi/testdata/non_func/SE_554967_BMS_2_FIN_PH2.vt
ifs.am.hou.backup.apps.3rdparty	33188	61050	59655	3709091	3710976	8835	1690276156	1690276159	1690276159	52218907024	./xdigi/testdata/1020outputs4_inline_prob_Layer1_QbVfVLfNR3A.vds
ifs.am.hou.backup.apps.3rdparty	33204	60710	59655	23687754	23691264	56019	1690360570	1634119424	1634119476	40081536875	./xdigi/testdata/FA 121 2nd.vds
ifs.am.hou.backup.apps.3rdparty	33188	61050	59655	57241324	57245696	134771	1690380756	1687270456	1687270456	50665724761	./xdigi/testdata/out_psdm_test_cma_inline_prob_Fault_c8Y9OnlVTYE.vds
ifs.am.hou.backup.apps.3rdparty	33188	59500	59655	336841112	336846848	792131	1690379256	1631028257	1633042830	38554123543	./xdigi/testdata/otu_psdm.vt
ifs.am.hou.backup.apps.3rdparty	33200	59500	59655	1793226536	1793228800	4216387	1690361260	1638806611	1638806611	41316781637	./xdigi/testdata/otu_psdm.vds
ifs.am.hou.backup.apps.3rdparty	33184	60710	60710	23687754	23691264	62259	1633328692	1632746620	1632746620	39937074927	./xdigi/testdata/Fault_test.vds
ifs.am.hou.backup.apps.3rdparty	33188	61050	59655	3709173	3710976	8835	1702383459	1683556959	1683556959	49993941700	./xdigi/1020outputs4_inline_prob_Layer1_QbVfVLfNR3A.vds
ifs.am.hou.backup.apps.3rdparty	33188	61323	59655	74206032	74211328	174659	1662548592	1662441386	1662548592	45883837098	./xdigi/waveform/WaveForm/seismic_lib/tests/data/seismicCube_merged_1_v2.vt
ifs.am.hou.backup.apps.3rdparty	33188	61323	59655	74206032	74211328	193971	1725910857	1662441386	1662441386	45991793287	./xdigi/waveform/seismic_lib/seismic_lib/tests/data/seismicCube_merged_1_v2.vt
ifs.am.hou.backup.apps.3rdparty	33188	61323	59655	65502171	65503232	154019	1690263134	1668079269	1668079298	46726175245	./xdigi/binoy/eeee_test_ZV0ydBZFQL0_Thinned_Layer1_ZV0ydBZFQL0.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	4450734	4456448	10803	1678889062	1651479625	1662328473	43831587197	./xdigi/tafiz_dev/Pickasso_test/fault3_inline_prob_Fault_02_nhK6NqEbQEA.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	198503130	198508544	466931	1678889062	1653393613	1662328473	44126089869	./xdigi/tafiz_dev/Pickasso_test/dp_seismic_output_inline_prob_Fault_JQ6bVcJXTuU.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	28	8192	51	1678889068	1649924504	1662328473	43657818093	./xdigi/tafiz_dev/Pickasso_dtt/sample.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	300292192	300294144	706387	1678889068	1650435656	1662328473	43619774159	./xdigi/tafiz_dev/Pickasso_dtt/fault_surface_in_deep_25oct_inline_prob_salt_test_15oct_z7VfenirS20.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	8504164871	8504172544	19994435	1678889069	1650435749	1662328473	43703885855	./xdigi/tafiz_dev/Pickasso_dtt/Salt_Test_8oct_3decimation_merge_prob_salt_6oct__B00-32pR1A.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	9922408	9928704	23539	1678889068	1650435658	1662328473	43619774163	./xdigi/tafiz_dev/Pickasso_dtt/fault_WF_prod_test_19oct_inline_prob_Fault_prod_test_19oct_RrGItg7SQFE.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	314465112	314466304	739235	1678889069	1650435961	1662328473	43715566401	./xdigi/tafiz_dev/Pickasso_dtt/Test_32GB_nov10_inline_prob_salt_test_32GB_9EYKRXeTRlw.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	60555081	60555264	142819	1678889069	1650435460	1662328473	43703885651	./xdigi/tafiz_dev/Pickasso_dtt/big_data_sg_oct19_15_Isosurface_Interpolate_2_Salt_test_sg_bd_oct16_eZZ2t-9YRCc.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	213670935	213671936	502371	1678889068	1650614615	1662328473	43687864904	./xdigi/tafiz_dev/Pickasso_dtt/dp_seismic_more_fault_135_ProbabilityScanner_Fault_Iu2AbW2gTCw.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	3001760	3006464	7459	1678889069	1650435658	1662328473	43780757506	./xdigi/tafiz_dev/Pickasso_dtt/fault_WF_prod_test_19oct_3_ProbabilityScanner_Fault_prod_test_19oct_RrGItg7SQFE.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	2621819250	2621825024	6163219	1678889068	1650435456	1662328473	43703885646	./xdigi/tafiz_dev/Pickasso_dtt/big_data_sg_oct19_15_Isosurface_Interpolate_0_Salt_test_sg_bd_oct16_eZZ2t-9YRCc.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	2621809738	2621816832	6162243	1678889069	1650435763	1662328473	43803093124	./xdigi/tafiz_dev/Pickasso_dtt/salttest_oct18_big_data_decimate_15_Isosurface_Interpolate_0_Salt_test_sg_bd_oct16_eZZ2t-9YRCc.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	100598854	100605952	236739	1678889068	1649834648	1662328473	43558160179	./xdigi/tafiz_dev/Pickasso_dtt/dp_test_session_inline_prob_Fault_Q5EKrbc3Tcg.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	297403389	297410560	699123	1678889068	1650435658	1662328473	43619774160	./xdigi/tafiz_dev/Pickasso_dtt/fault_surface_in_deep_25oct_merge_prob_salt_test_15oct_z7VfenirS20.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	300291334	300294144	706195	1678889069	1650435664	1662328473	43780757516	./xdigi/tafiz_dev/Pickasso_dtt/feet_salt_test_15oct_inline_prob_salt_test_15oct_z7VfenirS20.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	300291498	300294144	706099	1678889069	1650435956	1662328473	43715566397	./xdigi/tafiz_dev/Pickasso_dtt/Scaled_data_in_feet_18oct_inline_prob_salt_test_15oct_z7VfenirS20.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	18042340	18046976	42515	1678889069	1650541125	1662328473	43772633989	./xdigi/tafiz_dev/Pickasso_dtt/out_psdm_test_cma_103_ProbabilityScanner_Fault_c8Y9OnlVTYE.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	9506245	9510912	22723	1678889068	1650435959	1662328473	43643954731	./xdigi/tafiz_dev/Pickasso_dtt/Test_32GB_nov10_20_Blur_salt_test_32GB_9EYKRXeTRlw.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	297400213	297402368	699059	1678889068	1650435666	1662328473	43584498629	./xdigi/tafiz_dev/Pickasso_dtt/feet_salt_test_15oct_merge_prob_salt_test_15oct_z7VfenirS20.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	254134005	254140416	597523	1678889069	1650435676	1662328473	43764772539	./xdigi/tafiz_dev/Pickasso_dtt/Salt_Test_8oct_3decimation_119_Isosurface_Interpolate_1_salt_6oct__B00-32pR1A.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	19524487069	19524493312	45896211	1678889070	1650435845	1662328473	43803093127	./xdigi/tafiz_dev/Pickasso_dtt/salttest_oct18_big_data_decimate_crossline_prob_Salt_test_sg_bd_oct16_eZZ2t-9YRCc.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	98167881	98172928	230867	1678889068	1650435948	1662328473	43643954729	./xdigi/tafiz_dev/Pickasso_dtt/salt_test_vkp_oct1_112_Blur_GlobalFault_2zJwotBfRWQ.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	319495694	319496192	751251	1678889069	1650435661	1662328473	43764772506	./xdigi/tafiz_dev/Pickasso_dtt/feet_salt_test_15oct_crossline_prob_salt_test_15oct_z7VfenirS20.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	319495496	319496192	751107	1678889070	1650435954	1662328473	43803093135	./xdigi/tafiz_dev/Pickasso_dtt/Scaled_data_in_feet_18oct_crossline_prob_salt_test_15oct_z7VfenirS20.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	1874415	1875968	5251	1678889069	1650435667	1662328473	43703885837	./xdigi/tafiz_dev/Pickasso_dtt/NOV1_US_PROD_Test_7_ProbabilityScanner_Fault_nGLK95U_T3M.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	209847246	209854464	493843	1678889069	1649914766	1662328473	43768154289	./xdigi/tafiz_dev/Pickasso_dtt/oct1Gokul_inline_prob_GlobalFault_z28JSQ1cRhw.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	9645445105	9645449216	22670659	1678889067	1646918465	1662328473	42730933328	./xdigi/tafiz_dev/Pickasso_dtt/seismicCube_merged_16.vds
ifs.am.hou.backup.apps.3rdparty	33204	80213	59655	73721232	73728000	173859	1678889069	1650182415	1662328503	43785195874	./xdigi/tafiz_dev/Pickasso_dtt/oct1Gokul_inline_prob_GlobalFault_z28JSQ1cRhw_vds2vt.vt
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	43666269	43671552	103091	1678889069	1650435952	1662328503	43715566396	./xdigi/tafiz_dev/Pickasso_dtt/Scaled_data_in_feet_18oct_130_Isosurface_Interpolate_0_salt_test_15oct_z7VfenirS20.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	16722896718	16722903040	39309491	1678889069	1650435649	1662328503	43764772433	./xdigi/tafiz_dev/Pickasso_dtt/big_data_sg_oct19_merge_prob_Salt_test_sg_bd_oct16_eZZ2t-9YRCc.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	0	0	3	1649924483	1649924483	1662328503	43747450926	./xdigi/tafiz_dev/Pickasso_dtt/test_zero_file.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	675134139	675135488	1587507	1678889068	1650614659	1662328503	43644536625	./xdigi/tafiz_dev/Pickasso_dtt/dp_seismic_more_fault_inline_prob_Fault_Iu2AbW2gTCw.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	310757449	310763520	731043	1678889069	1650265248	1662328503	43706243927	./xdigi/tafiz_dev/Pickasso_dtt/Mar-31-output_inline_prob_Fault_bz0VBV-uQSQ.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	57241324	57245696	134819	1678889070	1651044628	1662328503	43852848488	./xdigi/tafiz_dev/Pickasso_dtt/out_psdm_test_cma_inline_prob_Fault_c8Y9OnlVTYE.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	198503130	198508544	466883	1678889070	1651491544	1662328503	43841609173	./xdigi/tafiz_dev/Pickasso_dtt/dp_seismic_output_inline_prob_Fault_JQ6bVcJXTuU.vds
ifs.am.hou.backup.apps.3rdparty	33188	80213	59655	12883969	12886016	30435	1678889068	1650435444	1662328503	43703885645	./xdigi/tafiz_dev/Pickasso_dtt/big_data_sg_oct19_15_Blur_Salt_test_sg_bd_oct16_eZZ2t-9YRCc.vds
